x,y,z
35.16340936,57.15577766,1.653518105
34.96468026,56.97208852,1.734568356
34.76975555,56.78380734,1.814314532
34.57874428,56.59097981,1.892651503
34.39175797,56.39365036,1.969472563
34.20891273,56.19186441,2.044668481
34.03031546,55.98568139,2.118127814
33.8560205,55.77521199,2.189738548
33.68606632,55.56057523,2.259388649
33.52049298,55.34188963,2.326964075
33.35934109,55.11927157,2.392349077
33.2026509,54.89283342,2.455426418
33.05046694,54.66268971,2.516075333
32.9028345,54.428952,2.574172764
32.75979953,54.19173051,2.629593297
32.6213937,53.95115028,2.682216437
32.4876324,53.70734271,2.731927174
32.35853325,53.46044454,2.778607436
32.23411158,53.21058824,2.822137578
32.11438276,52.95790536,2.862395285
31.99936402,52.70253002,2.899254734
31.889074,52.44459796,2.932586594
31.78353077,52.18424332,2.962258484
31.68272612,51.9216175,2.988147948
31.58660907,51.65688802,3.010150082
31.49512234,51.39022279,3.028159711
31.40820619,51.12179042,3.042069436
31.32579711,50.85175526,3.05176946
31.24782999,50.5802827,3.057146749
31.17423903,50.30754227,3.058084682
31.10495452,50.03369783,3.054463334
31.03988246,49.75892275,3.046183857
30.97889327,49.48339485,3.033178331
30.92184864,49.20728926,3.015380659
30.86860491,48.93078308,2.992724324
30.81901114,48.65404328,2.965140869
30.77291258,48.37724355,2.932560712
30.73014873,48.10055282,2.894911643
30.6905517,47.824136,2.852122862
30.6539264,47.548158,2.804173235
30.6200551,47.2727709,2.751072998
30.58871171,46.99812403,2.692835335
30.55966191,46.72436027,2.629474612
30.53266373,46.45161699,2.561005771
30.5074683,46.18003084,2.487444917
30.48381927,45.90973068,2.408807078
30.46145526,45.640835,2.325139247
30.44011065,45.37343452,2.236556594
30.41951255,45.10760895,2.143187288
30.39938085,44.8434283,2.045163058
30.37942879,44.58095411,1.942618682
30.3593636,44.32024333,1.835692726
30.33888655,44.0613452,1.724525691
30.31770291,43.80429411,1.609274805
30.29555734,43.54908817,1.490172176
30.27220305,43.29570038,1.367471775
30.24739063,43.04409594,1.241432483
30.22086852,42.79423202,1.112316929
30.19238334,42.54605766,0.980390389
30.16168064,42.2995175,0.845921832
30.12851727,42.05454567,0.709189668
30.09273086,41.81103598,0.57052086
30.05419335,41.56885988,0.430262166
30.01277908,41.32788402,0.288762022
29.96836484,41.0879705,0.146369282
29.92083053,40.84897986,0.003433733
29.8700595,40.61077139,-0.139694901
29.81595105,40.37320353,-0.282665079
29.75850563,40.13610918,-0.425118819
29.69777553,39.89930922,-0.56669663
29.63381643,39.66262583,-0.707042373
29.56668764,39.4258854,-0.845802762
29.49645247,39.18892032,-0.982627559
29.42317821,38.95156919,-1.117170788
29.34694403,38.71368037,-1.249091948
29.26791416,38.47509831,-1.378085396
29.18630949,38.23567112,-1.503867975
29.10235078,37.99525267,-1.626163013
29.01625906,37.75370766,-1.74469823
28.92825608,37.51091332,-1.859206025
28.83856283,37.26675633,-1.969426186
28.74740339,37.02114134,-2.07510439
28.65503901,36.77398245,-2.176035025
28.56177995,36.52521117,-2.272064764
28.4679359,36.27477161,-2.363045546
28.37380851,36.0226095,-2.448835913
28.27969819,35.76869086,-2.529295147
28.18589943,35.5129902,-2.604288661
28.0927024,35.25549611,-2.673687238
28.00039757,34.99621582,-2.737382202
27.9092874,34.73516987,-2.795340738
27.81967725,34.47239843,-2.847548044
27.73186395,34.20794302,-2.893989985
27.64613906,33.94185629,-2.934651936
27.56278753,33.67419878,-2.969520481
27.48208717,33.40503844,-2.998584374
27.40431025,33.13445794,-3.021834923
27.32971361,32.86254876,-3.039293482
27.25853358,32.58942002,-3.05104029
27.19099944,32.31518422,-3.057159747
27.12733557,32.03995565,-3.057732531
27.06776258,31.76385634,-3.05283648
27.0124959,31.4870116,-3.042547608
26.96174542,31.20955018,-3.026940831
26.91571645,30.93161315,-3.006091423
26.8745925,30.6533392,-2.980091412
26.83851451,30.37487781,-2.94907808
26.80761562,30.09638154,-2.913191694
26.78202719,29.81799605,-2.872566353
26.76188012,29.53987357,-2.827332339
26.74730381,29.26217003,-2.777616712
26.73842551,28.9850405,-2.72354317
26.73537013,28.70864521,-2.665233749
26.73825427,28.43314995,-2.602813047
26.74714448,28.15870847,-2.536431794
26.76208257,27.88547622,-2.466253381
26.78311237,27.6136096,-2.392436594
26.81028044,27.34325837,-2.315133786
26.8436348,27.07457877,-2.234494871
26.88322462,26.80772931,-2.150666834
26.92910036,26.54286735,-2.063793086
26.98131207,26.28015673,-1.97401638
27.03989357,26.01975515,-1.881482549
27.10482347,25.76180484,-1.786354905
27.17607279,25.50644312,-1.688796585
27.2536166,25.25380868,-1.588967426
27.33743489,25.00403817,-1.487022906
27.42751062,24.75727216,-1.383116772
27.52382974,24.51365352,-1.277400774
27.62638124,24.27332673,-1.170024677
27.73515548,24.03644068,-1.061137816
27.85012334,23.80313507,-0.950891666
27.97120694,23.57352328,-0.839443897
28.09832585,23.34771463,-0.726950734
28.23140456,23.12581953,-0.61356635
28.37037238,22.90794965,-0.499443115
28.5151627,22.69421927,-0.384732423
28.66571262,22.48474558,-0.269585063
28.82196249,22.27964922,-0.154151704
28.98385516,22.07905483,-0.038583434
29.15131651,21.88307582,0.076968732
29.32423072,21.69179103,0.192356044
29.50248016,21.5052747,0.307430994
29.685952,21.32360214,0.422046762
29.87453721,21.14685112,0.536056326
30.06813103,20.97510166,0.649312503
30.26663244,20.80843685,0.76166734
30.46994262,20.64694424,0.872971064
30.67796646,20.49071463,0.983072734
30.8905925,20.339827,1.09182259
31.10767817,20.19431888,1.199081827
31.32908022,20.05422195,1.304713096
31.55465668,19.91957034,1.408577193
31.78427091,19.7903985,1.510534617
32.01778914,19.66674329,1.610444021
32.25508083,19.54864416,1.708161995
32.4960162,19.43614469,1.803541688
32.74046921,19.32929102,1.896433929
32.98829716,19.22811008,1.986695938
33.23933754,19.13258855,2.074202231
33.49343215,19.04270712,2.158829172
33.75041897,18.95844847,2.240449366
34.01014266,18.87979398,2.318934761
34.27245269,18.80672522,2.394155295
34.53719647,18.73922641,2.465976383
34.80422466,18.67728319,2.534260006
35.0733889,18.62088057,2.598865905
35.34452325,18.5699704,2.659675002
35.61746133,18.52447668,2.716586244
35.89203668,18.4843203,2.7694973
36.16808582,18.44941953,2.818304303
36.44545044,18.41969032,2.862901539
36.72397437,18.39504734,2.903180146
37.00349633,18.3754048,2.939026578
37.28386537,18.36067541,2.970324235
37.56492666,18.35075655,2.996971536
37.8465214,18.34551403,3.018902568
38.12849628,18.34480464,3.03605612
38.41069942,18.34847969,3.048370722
38.69298789,18.35638558,3.055784254
38.97522061,18.36836424,3.058232737
39.25725736,18.38425331,3.055649708
39.53896631,18.40388679,3.047965453
39.82021572,18.42708996,3.035127915
40.10088293,18.45367212,3.017131395
40.3808535,18.4834338,2.993978923
40.66001576,18.51616788,2.965676041
40.93827168,18.55166123,2.932228954
41.21552601,18.58969387,2.893644649
41.49168949,18.63003949,2.84992987
41.76668022,18.67246624,2.801091496
42.04042607,18.71674773,2.747172086
42.31287047,18.7626636,2.688255671
42.58396578,18.809987,2.624433478
42.85367507,18.85848477,2.555800872
43.1219712,18.90791756,2.482456701
43.38883564,18.95803986,2.40450281
43.65425967,19.00860028,2.322042983
43.91824352,19.05935535,2.235195725
44.18080209,19.11010456,2.144126288
44.44196358,19.16065396,2.049014989
44.70176442,19.21080561,1.950049113
44.96025718,19.26035936,1.847419091
45.21749894,19.30911075,1.741322156
45.4735586,19.35685264,1.631958898
45.72851657,19.40338759,1.519536924
45.98245237,19.44858488,1.404296897
46.23546179,19.49233996,1.286490683
46.48764789,19.53454847,1.166376186
46.7391221,19.57510659,1.044216029
46.99000205,19.61391074,0.920277783
47.24041267,19.65085796,0.794832704
47.49048183,19.68586144,0.668153088
47.74032148,19.7189189,0.540503001
47.99004492,19.75005897,0.41214357
48.23976696,19.77931244,0.283339538
48.48960683,19.8067126,0.154357092
48.73968605,19.83229483,0.025464223
48.99012602,19.85609633,-0.103068722
49.24104591,19.87817261,-0.230972054
49.49255489,19.8986412,-0.357982512
49.74475967,19.91763541,-0.483838566
49.99776209,19.93529001,-0.608277343
50.25166442,19.95174134,-0.731038164
50.50656172,19.9671265,-0.851859752
50.76254342,19.98158324,-0.970482324
51.01967347,19.99527576,-1.086687827
51.27796641,20.0084268,-1.200349101
51.53742847,20.02126569,-1.311352221
51.79806213,20.03401996,-1.419583589
52.05986843,20.04691523,-1.524931113
52.32284236,20.06017485,-1.627282611
52.58697385,20.07401963,-1.726526622
52.85224913,20.0886677,-1.822553287
53.11864719,20.10433395,-1.915253477
53.38614075,20.12122964,-2.004519692
53.65469415,20.13956186,-2.090245917
53.92426754,20.15953326,-2.172329567
54.1948106,20.18134099,-2.250670107
54.46626467,20.20517619,-2.325171554
54.73855158,20.23122088,-2.395794514
55.01156667,20.25964776,-2.46257656
55.28520765,20.29062607,-2.525561157
55.55936644,20.3243209,-2.584789203
55.83393307,20.36089346,-2.640300372
56.10879751,20.40050119,-2.69213371
56.38384581,20.44329702,-2.740327136
56.65896286,20.4894264,-2.784919186
56.93402866,20.53902385,-2.825949125
57.208927,20.59222037,-2.863456304
57.483533,20.64914175,-2.897478354
57.75771947,20.70990927,-2.928052531
58.03135722,20.7746394,-2.955216016
58.30431422,20.84344328,-2.979006089
58.57645631,20.9164133,-2.999470005
58.84766404,20.99358314,-3.016698677
59.11781611,21.07496881,-3.030792325
59.38680013,21.16058897,-3.041848767
59.65449946,21.25046105,-3.049962854
59.92079934,21.34460288,-3.055227028
60.1855839,21.44303169,-3.057731422
60.44873784,21.54576443,-3.057564103
60.7101515,21.65281992,-3.054811145
60.9697081,21.76421356,-3.049556839
61.22729254,21.87996057,-3.041883892
61.48278678,22.00007379,-3.031873684
61.73607786,22.12456718,-3.019606109
61.98704789,22.25345096,-3.005160089
62.23557824,22.38673314,-2.988613612
62.48155519,22.52441207,-2.970045116
62.72489437,22.66643691,-2.949540184
62.96551931,22.81273759,-2.927186148
63.20336254,22.96325118,-2.903067715
63.43835119,23.11791334,-2.877268331
63.6704151,23.27666313,-2.849869518
63.89948464,23.43944177,-2.82095114
64.12548856,23.60619095,-2.790591769
64.34836067,23.7768578,-2.758867856
64.56803083,23.95138824,-2.725854992
64.78442959,24.12973024,-2.691627392
64.99748639,24.31183238,-2.656258229
65.20713179,24.49764561,-2.619819352
65.41329478,24.68712091,-2.582381788
65.61590371,24.8802099,-2.544015683
65.81488586,25.07686429,-2.504790454
66.01017849,25.27702642,-2.464772388
66.20174751,25.48060794,-2.424020445
66.38956802,25.6875202,-2.382590839
66.57361329,25.89767433,-2.340539433
66.75385801,26.1109848,-2.297921066
66.93027724,26.32736842,-2.254789761
67.10284586,26.54674381,-2.211198865
67.27153956,26.76903274,-2.167200803
67.43633344,26.99415845,-2.12284744
67.59720234,27.22204616,-2.078190012
67.75412067,27.45262283,-2.033279192
67.90706212,27.68581682,-1.988165193
68.0560001,27.9215586,-1.942897654
68.20090705,28.15977966,-1.897525882
68.34175456,28.40041275,-1.852098832
68.47851323,28.6433916,-1.806665184
68.61115661,28.8886483,-1.761271542
68.73968033,29.1361031,-1.715953734
68.86408773,29.38567238,-1.670743764
68.98438281,29.63727475,-1.625673181
69.10056993,29.89083066,-1.580773161
69.21265365,30.14626237,-1.536074533
69.32063856,30.40349375,-1.491607836
69.42452934,30.66245079,-1.447403244
69.52433037,30.92306077,-1.403490728
69.62004577,31.18525259,-1.359900018
69.71167927,31.44895663,-1.31666065
69.7992341,31.71410461,-1.273801999
69.88271293,31.9806296,-1.231353305
69.96211776,32.24846584,-1.189343712
70.03744988,32.5175487,-1.147802303
70.10870976,32.78781452,-1.106758138
70.1758973,33.05920047,-1.066240086
70.23902016,33.33164172,-1.026271259
70.29809589,33.60507124,-0.986867984
70.35314298,33.87942311,-0.948046003
70.40418023,34.15463274,-0.90982086
70.45122663,34.43063677,-0.872207919
70.49430126,34.70737308,-0.835222392
70.53342324,34.98478074,-0.798879348
70.56861162,35.26279997,-0.763193743
70.59988528,35.54137207,-0.72818044
70.62726291,35.82043941,-0.693854227
70.6507629,36.09994554,-0.660229816
70.67040325,36.37983419,-0.627321978
70.68620162,36.66005111,-0.595145344
70.69817515,36.9405421,-0.563714639
70.70634051,37.22125395,-0.533044602
70.71071377,37.5021341,-0.50315002
70.71131127,37.78313062,-0.474044743
70.70815315,38.06419154,-0.445737768
70.70126101,38.3452657,-0.418236477
70.69065671,38.6263027,-0.391548127
70.6763623,38.90725292,-0.365679856
70.65839999,39.18806759,-0.340638688
70.63679207,39.46869844,-0.316431583
70.61156088,39.74909811,-0.293065399
70.58272874,40.02921987,-0.270546936
70.55031794,40.30901764,-0.248882944
70.51435069,40.58844596,-0.228080132
70.47484906,40.86745999,-0.208145177
70.43183497,41.14601538,-0.189084748
70.38533014,41.42406832,-0.170905507
70.33535611,41.70157549,-0.153614125
70.28193414,41.97849402,-0.137217287
70.2250852,42.25478145,-0.121721674
70.16482922,42.53039538,-0.10713298
70.10118523,42.80529359,-0.093455688
70.03417238,43.07943421,-0.080694148
69.96380983,43.35277616,-0.068852616
69.89011736,43.62527689,-0.057935361
69.81311417,43.89689686,-0.047946482
69.73282001,44.16759504,-0.038890095
69.64925459,44.43733114,-0.03077025
69.56243771,44.70606515,-0.023590952
69.47238922,44.97375728,-0.017356165
69.37912877,45.2403687,-0.012069803
69.28267695,45.50585825,-0.007735797
69.18305321,45.77018834,-0.004357982
69.08027771,46.03331958,-0.001940204
68.9743705,46.29521316,-0.000486279
